GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),GROUP (CODE),GROUP (DISPLAY),GROUP (URL),PROGRAMME (CODE),PROGRAMME (DISPLAY),PROGRAMME (URL),RSUDTREATMENTLOCATION (CODE),RSUDTREATMENTLOCATION (DISPLAY),RSUDTREATMENTLOCATION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
RSUD_360,Specialized treatment facilities for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
RSUD_360,Specialized treatment facilities for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_AREAS,In other areas,,Yes,,,,,,
RSUD_370,Specialized treatment facilities for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,Yes,,,,,,
RSUD_370,Specialized treatment facilities for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
RSUD_370,Specialized treatment facilities for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_AREAS,In other areas,,Yes,,,,,,
RSUD_380,Specialized treatment facilities for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,Yes,,,,,,
RSUD_380,Specialized treatment facilities for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
RSUD_380,Specialized treatment facilities for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_AREAS,In other areas,,Yes,,,,,,
RSUD_340,Treatment programmes for children and adolescents with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,No data,,,,,,
RSUD_340,Treatment programmes for children and adolescents with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,No data,,,,,,
RSUD_350,Treatment programmes for children and adolescents with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,No data,,,,,,
RSUD_350,Treatment programmes for children and adolescents with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,No data,,,,,,
RSUD_390,Self-help groups,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2581,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,AL_ANON_ALATEEN,Al-Anon/Alateen,,,,,,,,Yes,,,,,,
RSUD_390,Self-help groups,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2581,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,ALCOHOLICS_ANONYMOUS,Alcoholics Anonymous,,,,,,,,Yes,,,,,,
RSUD_390,Self-help groups,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2581,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,COCAINE_ANONYMOUS,Cocaine Anonymous,,,,,,,,No data,,,,,,
RSUD_390,Self-help groups,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2581,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,FAMILY_SUPPORT_GROUPS,Family support groups,,,,,,,,Yes,,,,,,
RSUD_390,Self-help groups,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2581,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,NARCOTICS_ANONYMOUS,Narcotics Anonymous,,,,,,,,Yes,,,,,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,OUT_PATIENT_DETOXIFICATION,Out-patient detoxification,,,,,Public health sector,,,,,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,IN_PATIENT_DETOXIFICATION,In-patient detoxification,,,,,Public health sector,,,,,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,OUT_PATIENT_TREATMENT,Out-patient treatment,,,,,Public health sector,,,,,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,IN_PATIENT_TREATMENT,In-patient treatment,,,,,Public health sector,,,,,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,REHABILITATION,Rehabilitation,,,,,Public health sector,,,,,,
