GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,...,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,...,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,...,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,...,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,...,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,...,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,...,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,...,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,...,,,,,,
TOBACCO_0000000386,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000387,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000388,Specific health warnings are mandated for other smoked tobacco packaging,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000389,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000390,Health warnings on other smoked tobacco packaging must be rotated,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000391,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000392,Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000393,Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000394,"Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging",,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000395,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,...,,,,,,
TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,2006,,,,,,
TOBACCO_0000000506,Representativeness of youth survey,,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,National,,,,,,
TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,4,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,-,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,-,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,-,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,-,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,-,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,-,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,-,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,-,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,-,,,,,,
TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,2006,,,,,,
TOBACCO_0000000506,Representativeness of youth survey,,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,National,,,,,,
TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,4,,,,,,
TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes in most,,,,,,
TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes in most,,,,,,
TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,. . .,,,,,,
TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,. . .,,,,,,
TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,. . .,,,,,,
TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,. . .,,,,,,
TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,In a pharmacy without a prescription,,,,,,
TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,In a pharmacy without a prescription,,,,,,
TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,No,,,,,,
TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,No,,,,,,
TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,No,,,,,,
TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,FRA,France,,,,,,,,,,,No,,,,,,
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,200,200.00000,,,,,
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,520,520.00000,,,,,
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,836,836.00000,,,,,
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,182,182.00000,,,,,
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,346,346.00000,,,,,
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,5,,,,,,
SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,126,126.00000,,,,,
SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,165,165.00000,,,,,
SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,210,210.00000,,,,,
SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,182,182.00000,,,,,
SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,184,184.00000,,,,,
SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,186,186.00000,,,,,
SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,14,14.00000,,,,,
SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,30,30.00000,,,,,
SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,46,46.00000,,,,,
SA_0000001423,"Age-standardized DALYs, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,116,116.00000,,,,,
SA_0000001423,"Age-standardized DALYs, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,160,160.00000,,,,,
SA_0000001423,"Age-standardized DALYs, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,203,203.00000,,,,,
SA_0000001424,"Age-standardized DALYs, fires, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,BTSX,Both sexes,,,,,,,,18,18.00000,,,,,
SA_0000001424,"Age-standardized DALYs, fires, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,MLE,Male,,,,,,,,23,23.00000,,,,,
SA_0000001424,"Age-standardized DALYs, fires, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,FRA,France,,FMLE,Female,,,,,,,,13,13.00000,,,,,
