GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),GROUP (CODE),GROUP (DISPLAY),GROUP (URL),RSUDPREVENTIONPROGRAMME (CODE),RSUDPREVENTIONPROGRAMME (DISPLAY),RSUDPREVENTIONPROGRAMME (URL),RSUDSPECIFICPOPULATION (CODE),RSUDSPECIFICPOPULATION (DISPLAY),RSUDSPECIFICPOPULATION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
RSUD_580,Prevention programmes for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,SERVING_STAFF_TRAINING_PROG,Serving staff training programmes,,,,,Yes,,,,,,
RSUD_580,Prevention programmes for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,PARENT_PROG,Parent programmes,,,,,Yes,,,,,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,ADS_IN_PUBLIC,Advertisements in public places (posters etc.),,,,,Yes,,,,,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,MASS_MEDIA_AUDIOVISUAL,Mass media (audiovisual),,,,,Yes,,,,,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,MASS_MEDIA_PRINT,Mass media (print),,,,,Yes,,,,,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,WORK_PLACE_PROG,Work place programmes,,,,,Yes,,,,,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,COMMUNITY_BASED_PROG,Community based programmes,,,,,Yes,,,,,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,PARENT_PROG,Parent programmes,,,,,Yes,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,COMMUNITY_GROUPS,Community groups,,,,,,,,No data,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,RELIGIOUS_GROUPS,Religious groups,,,,,,,,No data,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,TRADITIONAL_HEALERS,Traditional healers,,,,,,,,No data,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,EMPLOYERS,Employers,,,,,,,,No data,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,LABOUR_ORGANIZATIONS,Labour organizations,,,,,,,,No data,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,LAW_ENFORCEMENT_AGENCIES,Law enforcement agencies,,,,,,,,No data,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,INTERNATIONAL_ORGANIZATIONS,International organizations,,,,,,,,No data,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,ALCOHOL_BEVERAGE_INDUSTRY,Alcohol beverage industry,,,,,,,,No data,,,,,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2582,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,PATIENT_ORGANIZATIONS,Patient organizations,,,,,,,,No data,,,,,,
RSUD_580,Prevention programmes for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,SCHOOL_MANUAL_BASED,School (manual) based programmes,,,,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,CHILDREN_AND_ADOLESCENTS,Children and adolescents in the general population,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,CHILDREN_AND_FAMILIES_RISK,Children at risk and their families,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,COMMERCIAL_SEX_WORKERS,Commercial sex workers,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,INDIGENOUS_POPULATIONS,Indigenous people,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,MINORITY_GROUPS,Minority groups,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PARENTS,Parents in the general population,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PEOPLE_LIVING_WITH_HIV_AIDS,People living with HIV/AIDS,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PEOPLE_WITH_TB,People with tuberculosis,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PERSONS_WITH_MENTAL_HEALTH_DISORDERS,Persons with mental health disorders,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PREGNANT_WOMEN,Pregnant women,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PRISONERS,Prisoners,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,REFUGEES,Refugees,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,YOUNG_ADULTS,Young adults,,No data,,,,,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,ELDERLY,Elderly,,No data,,,,,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,SCHOOL_MANUAL_BASED,School (manual) based programmes,,,,,No data,,,,,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2569,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,SERVING_STAFF_TRAINING_PROG,Serving staff training programmes,,,,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,CHILDREN_AND_ADOLESCENTS,Children and adolescents in the general population,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,CHILDREN_AND_FAMILIES_RISK,Children at risk and their families,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,COMMERCIAL_SEX_WORKERS,Commercial sex workers,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,INDIGENOUS_POPULATIONS,Indigenous people,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,MINORITY_GROUPS,Minority groups,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PARENTS,Parents in the general population,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PEOPLE_LIVING_WITH_HIV_AIDS,People living with HIV/AIDS,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PEOPLE_WITH_TB,People with tuberculosis,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PERSONS_WITH_MENTAL_HEALTH_DISORDERS,Persons with mental health disorders,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PREGNANT_WOMEN,Pregnant women,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,PRISONERS,Prisoners,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,REFUGEES,Refugees,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,YOUNG_ADULTS,Young adults,,No data,,,,,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2571,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,ELDERLY,Elderly,,No data,,,,,,
