GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982,1982,,EUR,Europe,,FRA,1982,1982,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,24.4 [23.0-25.8],24.40000,23.00000,25.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989,1989,,EUR,Europe,,FRA,1989,1989,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,24.6 [23.6-25.5],24.60000,23.60000,25.50000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991,1991,,EUR,Europe,,FRA,1991,1991,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,24.6 [23.7-25.5],24.60000,23.70000,25.50000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996,1996,,EUR,Europe,,FRA,1996,1996,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,24.8 [24.0-25.7],24.80000,24.00000,25.70000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998,1998,,EUR,Europe,,FRA,1998,1998,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,24.9 [24.1-25.7],24.90000,24.10000,25.70000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005,2005,,EUR,Europe,,FRA,2005,2005,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,25.2 [24.4-26.0],25.20000,24.40000,26.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,25.3 [24.4-26.2],25.30000,24.40000,26.20000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983,1983,,EUR,Europe,,FRA,1983,1983,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,6.0 [5.6-6.4],6.00000,5.60000,6.40000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1985,1985,,EUR,Europe,,FRA,1985,1985,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.9 [5.6-6.2],5.90000,5.60000,6.20000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1992,1992,,EUR,Europe,,FRA,1992,1992,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.8 [5.5-6.0],5.80000,5.50000,6.00000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1994,1994,,EUR,Europe,,FRA,1994,1994,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.7 [5.5-5.9],5.70000,5.50000,5.90000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1999,1999,,EUR,Europe,,FRA,1999,1999,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.6 [5.4-5.8],5.60000,5.40000,5.80000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2001,2001,,EUR,Europe,,FRA,2001,2001,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.6 [5.3-5.8],5.60000,5.30000,5.80000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2003,2003,,EUR,Europe,,FRA,2003,2003,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.3-5.8],5.50000,5.30000,5.80000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2008,2008,,EUR,Europe,,FRA,2008,2008,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [5.1-5.7],5.40000,5.10000,5.70000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1986,1986,,EUR,Europe,,FRA,1986,1986,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.9 [5.6-6.2],5.90000,5.60000,6.20000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1988,1988,,EUR,Europe,,FRA,1988,1988,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.9 [5.6-6.2],5.90000,5.60000,6.20000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1995,1995,,EUR,Europe,,FRA,1995,1995,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.7 [5.4-6.0],5.70000,5.40000,6.00000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1997,1997,,EUR,Europe,,FRA,1997,1997,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.6 [5.4-5.9],5.60000,5.40000,5.90000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2002,2002,,EUR,Europe,,FRA,2002,2002,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.6 [5.2-5.9],5.60000,5.20000,5.90000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.2-5.9],5.50000,5.20000,5.90000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1982,1982,,EUR,Europe,,FRA,1982,1982,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,6.0 [5.6-6.4],6.00000,5.60000,6.40000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984,1984,,EUR,Europe,,FRA,1984,1984,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.9 [5.6-6.3],5.90000,5.60000,6.30000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1989,1989,,EUR,Europe,,FRA,1989,1989,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.8 [5.6-6.0],5.80000,5.60000,6.00000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1991,1991,,EUR,Europe,,FRA,1991,1991,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.8 [5.5-6.0],5.80000,5.50000,6.00000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1998,1998,,EUR,Europe,,FRA,1998,1998,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.6 [5.4-5.8],5.60000,5.40000,5.80000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.6 [5.3-5.8],5.60000,5.30000,5.80000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [5.1-5.7],5.40000,5.10000,5.70000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1981,1981,,EUR,Europe,,FRA,1981,1981,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,6.0 [5.4-6.5],6.00000,5.40000,6.50000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983,1983,,EUR,Europe,,FRA,1983,1983,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.9 [5.5-6.3],5.90000,5.50000,6.30000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1985,1985,,EUR,Europe,,FRA,1985,1985,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.9 [5.5-6.2],5.90000,5.50000,6.20000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1990,1990,,EUR,Europe,,FRA,1990,1990,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.7 [5.4-6.0],5.70000,5.40000,6.00000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1992,1992,,EUR,Europe,,FRA,1992,1992,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.7 [5.4-6.0],5.70000,5.40000,6.00000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1999,1999,,EUR,Europe,,FRA,1999,1999,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.2-5.8],5.50000,5.20000,5.80000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2001,2001,,EUR,Europe,,FRA,2001,2001,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.2-5.8],5.50000,5.20000,5.80000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2006,2006,,EUR,Europe,,FRA,2006,2006,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.4 [5.1-5.7],5.40000,5.10000,5.70000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2008,2008,,EUR,Europe,,FRA,2008,2008,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.3 [4.9-5.7],5.30000,4.90000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984,1984,,EUR,Europe,,FRA,1984,1984,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.5-5.8],5.20000,4.50000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1986,1986,,EUR,Europe,,FRA,1986,1986,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.7-5.8],5.20000,4.70000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1991,1991,,EUR,Europe,,FRA,1991,1991,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.3 [4.9-5.7],5.30000,4.90000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1993,1993,,EUR,Europe,,FRA,1993,1993,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.3 [4.9-5.6],5.30000,4.90000,5.60000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.9-5.6],5.20000,4.90000,5.60000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2002,2002,,EUR,Europe,,FRA,2002,2002,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.9-5.5],5.20000,4.90000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.7-5.6],5.20000,4.70000,5.60000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1982,1982,,EUR,Europe,,FRA,1982,1982,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [4.6-6.2],5.40000,4.60000,6.20000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984,1984,,EUR,Europe,,FRA,1984,1984,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [4.8-6.1],5.40000,4.80000,6.10000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1989,1989,,EUR,Europe,,FRA,1989,1989,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.0-6.0],5.50000,5.00000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1991,1991,,EUR,Europe,,FRA,1991,1991,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.1-5.9],5.50000,5.10000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998,1998,,EUR,Europe,,FRA,1998,1998,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.2-5.9],5.50000,5.20000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.2-5.8],5.50000,5.20000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.1-5.9],5.50000,5.10000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.0-6.0],5.50000,5.00000,6.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1981,1981,,EUR,Europe,,FRA,1981,1981,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,140.4 [134.0-147.0],140.40000,134.00000,147.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988,1988,,EUR,Europe,,FRA,1988,1988,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,137.1 [133.4-140.9],137.10000,133.40000,140.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1990,1990,,EUR,Europe,,FRA,1990,1990,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,136.7 [133.0-140.5],136.70000,133.00000,140.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1995,1995,,EUR,Europe,,FRA,1995,1995,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,135.9 [132.1-139.8],135.90000,132.10000,139.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1997,1997,,EUR,Europe,,FRA,1997,1997,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,135.6 [131.8-139.5],135.60000,131.80000,139.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,134.6 [130.9-138.1],134.60000,130.90000,138.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2006,2006,,EUR,Europe,,FRA,2006,2006,France,,AGE25-PLUS,25+ years,,MLE,Male,,,,,134.2 [130.3-138.0],134.20000,130.30000,138.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986,1986,,EUR,Europe,,FRA,1986,1986,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,131.8 [127.3-136.3],131.80000,127.30000,136.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988,1988,,EUR,Europe,,FRA,1988,1988,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,131.1 [126.8-135.3],131.10000,126.80000,135.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1993,1993,,EUR,Europe,,FRA,1993,1993,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,129.9 [125.8-134.0],129.90000,125.80000,134.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1995,1995,,EUR,Europe,,FRA,1995,1995,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,129.3 [125.3-133.3],129.30000,125.30000,133.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002,2002,,EUR,Europe,,FRA,2002,2002,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,126.2 [122.3-129.9],126.20000,122.30000,129.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.3 [121.3-129.2],125.30000,121.30000,129.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008,2008,,EUR,Europe,,FRA,2008,2008,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,25.3 [24.4-26.2],25.30000,24.40000,26.20000,,,
NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/36,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,,,,MLE,Male,,,,,229100,229105.90000,,,,,
NCD_CCS_NCDUnit_Operational,"Existence of an Operational Unit, Branch, or Dept. in Ministry of Health with responsibility for NCDs",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2396,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,,,,,,,,,,Yes,,,,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1994,1994,,EUR,Europe,,FRA,1994,1994,France,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,39.3 [32.3-46.3],39.30000,32.30000,46.30000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1983,1983,,EUR,Europe,,FRA,1983,1983,France,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,44.3 [36.3-52.3],44.30000,36.30000,52.30000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1978,1978,,EUR,Europe,,FRA,1978,1978,France,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,45.7 [35.4-56.1],45.70000,35.40000,56.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,29.0 [21.3-37.3],29.00000,21.30000,37.30000,,,
