GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefepime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,0.00,0.00000,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefepime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,1.01,1.01010,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,43.27,43.26923,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,32.43,32.43243,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,44.95,44.95413,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,39.09,39.09091,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,44.64,44.64286,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,50.91,50.90909,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,41.90,41.90476,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,37.37,37.37374,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,0.00,0.00000,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,0.00,0.00000,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,0.00,0.00000,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,0.00,0.00000,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,0.00,0.00000,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,0.00,0.00000,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,0.00,0.00000,,,,,
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,1.92,1.92308,,,,,CFM
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,1.80,1.80180,,,,,CFM
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,1.82,1.81818,,,,,CFM
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,3.57,3.57143,,,,,CFM
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,0.91,0.90909,,,,,CFM
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,1.01,1.01010,,,,,CFM
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,104,104.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,111,111.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,109,109.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,110,110.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,112,112.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,110,110.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,105,105.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,99,99.00000,,,,,
GASPTICFM,Number of isolates tested for cefepime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,104,104.00000,,,,,
GASPTICFM,Number of isolates tested for cefepime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,111,111.00000,,,,,
GASPTICFM,Number of isolates tested for cefepime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,109,109.00000,,,,,
GASPTICFM,Number of isolates tested for cefepime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,110,110.00000,,,,,
GASPTICFM,Number of isolates tested for cefepime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,112,112.00000,,,,,
GASPTICFM,Number of isolates tested for cefepime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,110,110.00000,,,,,
GASPTICFM,Number of isolates tested for cefepime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,105,105.00000,,,,,
GASPTICFM,Number of isolates tested for cefepime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,99,99.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,104,104.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,111,111.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,109,109.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,110,110.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,112,112.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,110,110.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,105,105.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,99,99.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,104,104.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,111,111.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,109,109.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,110,110.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,112,112.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,105,105.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,99,99.00000,,,,,
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,104,104.00000,,,,,CFM
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,111,111.00000,,,,,CFM
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,109,109.00000,,,,,CFM/CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,110,110.00000,,,,,CFM
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,112,112.00000,,,,,CFM
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,110,110.00000,,,,,CFM
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,105,105.00000,,,,,CFM/CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,99,99.00000,,,,,CFM
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,0.00,0.00000,,,,,CFM/CRO
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,0.00,0.00000,,,,,CFM/CRO
