GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2002,2002,,EUR,Europe,,FRA,2002,2002,France,,,,,34.105,34.10500,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2003,2003,,EUR,Europe,,FRA,2003,2003,France,,,,,34.238,34.23800,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,,,,34.395,34.39500,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2005,2005,,EUR,Europe,,FRA,2005,2005,France,,,,,34.410,34.41000,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2006,2006,,EUR,Europe,,FRA,2006,2006,France,,,,,34.357,34.35700,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,,,,34.189,34.18900,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2008,2008,,EUR,Europe,,FRA,2008,2008,France,,,,,34.156,34.15600,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,,,,33.693,33.69300,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,,,,33.736,33.73600,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,,,,31.622,31.62200,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,,,,31.745,31.74500,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,,,,31.948,31.94800,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,32.115,32.11500,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,,,,32.239,32.23900,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,,,,32.376,32.37600,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2017,2017,,EUR,Europe,,FRA,2017,2017,France,,,,,32.565,32.56500,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2018,2018,,EUR,Europe,,FRA,2018,2018,France,,,,,32.672,32.67200,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1990,1990,,EUR,Europe,,FRA,1990,1990,France,,,,,175912,175912.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1991,1991,,EUR,Europe,,FRA,1991,1991,France,,,,,179600,179600.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1992,1992,,EUR,Europe,,FRA,1992,1992,France,,,,,183246,183246.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1993,1993,,EUR,Europe,,FRA,1993,1993,France,,,,,185477,185477.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1994,1994,,EUR,Europe,,FRA,1994,1994,France,,,,,188082,188082.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1995,1995,,EUR,Europe,,FRA,1995,1995,France,,,,,189891,189891.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1996,1996,,EUR,Europe,,FRA,1996,1996,France,,,,,191663,191663.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1997,1997,,EUR,Europe,,FRA,1997,1997,France,,,,,193382,193382.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1998,1998,,EUR,Europe,,FRA,1998,1998,France,,,,,194834,194834.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,1999,1999,,EUR,Europe,,FRA,1999,1999,France,,,,,195751,195751.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,,,,197977,197977.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2001,2001,,EUR,Europe,,FRA,2001,2001,France,,,,,201140,201140.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2002,2002,,EUR,Europe,,FRA,2002,2002,France,,,,,203962,203962.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2003,2003,,EUR,Europe,,FRA,2003,2003,France,,,,,206289,206289.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,,,,208768,208768.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2005,2005,,EUR,Europe,,FRA,2005,2005,France,,,,,210312,210312.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2006,2006,,EUR,Europe,,FRA,2006,2006,France,,,,,211324,211324.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,,,,211522,211522.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2008,2008,,EUR,Europe,,FRA,2008,2008,France,,,,,212479,212479.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,,,,210723,210723.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,,,,212132,212132.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,,,,199920,199920.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,,,,201784,201784.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,,,,204129,204129.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,206159,206159.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,,,,207789,207789.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,,,,209367,209367.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2017,2017,,EUR,Europe,,FRA,2017,2017,France,,,,,211162,211162.00000,,,,,
HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2018,2018,,EUR,Europe,,FRA,2018,2018,France,,,,,212337,212337.00000,,,,,
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1990,1990,,EUR,Europe,,FRA,1990,1990,France,,,,,93547,93547.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1991,1991,,EUR,Europe,,FRA,1991,1991,France,,,,,95420,95420.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1992,1992,,EUR,Europe,,FRA,1992,1992,France,,,,,96867,96867.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1993,1993,,EUR,Europe,,FRA,1993,1993,France,,,,,95396,95396.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1994,1994,,EUR,Europe,,FRA,1994,1994,France,,,,,96351,96351.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1995,1995,,EUR,Europe,,FRA,1995,1995,France,,,,,96723,96723.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1996,1996,,EUR,Europe,,FRA,1996,1996,France,,,,,96985,96985.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1997,1997,,EUR,Europe,,FRA,1997,1997,France,,,,,96850,96850.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1998,1998,,EUR,Europe,,FRA,1998,1998,France,,,,,97046,97046.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,1999,1999,,EUR,Europe,,FRA,1999,1999,France,,,,,96607,96607.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,,,,98183,98183.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2001,2001,,EUR,Europe,,FRA,2001,2001,France,,,,,99455,99455.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2002,2002,,EUR,Europe,,FRA,2002,2002,France,,,,,100682,100682.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2003,2003,,EUR,Europe,,FRA,2003,2003,France,,,,,101953,101953.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,,,,103020,103020.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2005,2005,,EUR,Europe,,FRA,2005,2005,France,,,,,103669,103669.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2006,2006,,EUR,Europe,,FRA,2006,2006,France,,,,,104007,104007.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,,,,103914,103914.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2008,2008,,EUR,Europe,,FRA,2008,2008,France,,,,,104225,104225.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,,,,103349,103349.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,,,,103262,103262.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,,,,93140,93140.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,,,,93283,93283.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,,,,93944,93944.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,94322,94322.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,,,,94262,94262.00000,,,,,"Includes Generalist medical practitioners. Data source: WHO/Europe  Hlth-Res-DB,  November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,,,,94328,94328.00000,,,,,"Includes Generalist medical practitioners. Data source: OECD Health Data, accessed November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2017,2017,,EUR,Europe,,FRA,2017,2017,France,,,,,94889,94889.00000,,,,,"Includes Generalist medical practitioners. Data source: OECD Health Data, accessed November 2019"
HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2018,2018,,EUR,Europe,,FRA,2018,2018,France,,,,,94923,94923.00000,,,,,"Includes Generalist medical practitioners. Data source: OECD Health Data, accessed November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1990,1990,,EUR,Europe,,FRA,1990,1990,France,,,,,82365,82365.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1991,1991,,EUR,Europe,,FRA,1991,1991,France,,,,,84180,84180.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1992,1992,,EUR,Europe,,FRA,1992,1992,France,,,,,86379,86379.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1993,1993,,EUR,Europe,,FRA,1993,1993,France,,,,,90081,90081.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1994,1994,,EUR,Europe,,FRA,1994,1994,France,,,,,91731,91731.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1995,1995,,EUR,Europe,,FRA,1995,1995,France,,,,,93168,93168.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1996,1996,,EUR,Europe,,FRA,1996,1996,France,,,,,94678,94678.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1997,1997,,EUR,Europe,,FRA,1997,1997,France,,,,,96532,96532.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1998,1998,,EUR,Europe,,FRA,1998,1998,France,,,,,97788,97788.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,1999,1999,,EUR,Europe,,FRA,1999,1999,France,,,,,99144,99144.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,,,,99794,99794.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2001,2001,,EUR,Europe,,FRA,2001,2001,France,,,,,101685,101685.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2002,2002,,EUR,Europe,,FRA,2002,2002,France,,,,,103280,103280.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2003,2003,,EUR,Europe,,FRA,2003,2003,France,,,,,104336,104336.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,,,,105748,105748.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2005,2005,,EUR,Europe,,FRA,2005,2005,France,,,,,106643,106643.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2006,2006,,EUR,Europe,,FRA,2006,2006,France,,,,,107317,107317.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,,,,107608,107608.00000,,,,,"Includes Specialist medical practitioners. Data source: WHO/Europe, Hlth-Res-DB, November 2019"
