GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),OPENACCESSSERVICE (CODE),OPENACCESSSERVICE (DISPLAY),OPENACCESSSERVICE (URL),PROGRAMME (CODE),PROGRAMME (DISPLAY),PROGRAMME (URL),RSUDTREATMENTLOCATION (CODE),RSUDTREATMENTLOCATION (DISPLAY),RSUDTREATMENTLOCATION (URL),RSUD_HIVHEP_CT (CODE),RSUD_HIVHEP_CT (DISPLAY),RSUD_HIVHEP_CT (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
RSUD_690,Special housing services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No,,,,,,
RSUD_700,Employment services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No,,,,,,
RSUD_700,Employment services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No,,,,,,
RSUD_700,Employment services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No,,,,,,
RSUD_710,Employment services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No,,,,,,
RSUD_710,Employment services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No,,,,,,
RSUD_710,Employment services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No,,,,,,
RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,MOBILE_PHONE_BASED_INTERVENTIONS,Mobile-phone-based interventions,,,,,,,,,,,No,,,,,,
RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,TELEPHONE_HELP_LINES,Telephone help lines,,,,,,,,,,,Yes,,,,,,
RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,WEB_BASED_INTERVENTIONS,Web-based interventions,,,,,,,,,,,Yes,,,,,,
RSUD_730,Open access interventions for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,MOBILE_PHONE_BASED_INTERVENTIONS,Mobile-phone-based interventions,,,,,,,,,,,No,,,,,,
RSUD_730,Open access interventions for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,TELEPHONE_HELP_LINES,Telephone help lines,,,,,,,,,,,Yes,,,,,,
RSUD_730,Open access interventions for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,WEB_BASED_INTERVENTIONS,Web-based interventions,,,,,,,,,,,Yes,,,,,,
RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,DROP_IN_SERVICES,"Drop-in"" services""",,,,,,,,No data,,,,,,
RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2556,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No data,,,,,,
RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2556,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No data,,,,,,
RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No data,,,,,,
RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No data,,,,,,
RSUD_670,Treatment programmes for women with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No data,,,,,,
RSUD_670,Treatment programmes for women with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No data,,,,,,
