GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_HI,High-income,,FRA,France,,4369.93,4369.93306,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,WB_HI,High-income,,FRA,France,,4508.13,4508.13457,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,WB_HI,High-income,,FRA,France,,1675.25,1675.25311,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,1996,1996,,EUR,1996,1996,Europe,,WB_HI,High-income,,FRA,France,,1720.56,1720.56157,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,WB_HI,High-income,,FRA,France,,1773.68,1773.68317,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,WB_HI,High-income,,FRA,France,,1837.98,1837.98213,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,WB_HI,High-income,,FRA,France,,1909.75,1909.74748,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,WB_HI,High-income,,FRA,France,,2028.09,2028.08539,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,WB_HI,High-income,,FRA,France,,2165.54,2165.53591,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,WB_HI,High-income,,FRA,France,,2335.07,2335.06641,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,WB_HI,High-income,,FRA,France,,2297.21,2297.21455,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,WB_HI,High-income,,FRA,France,,2398.60,2398.60457,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_HI,High-income,,FRA,France,,2527.24,2527.24093,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,WB_HI,High-income,,FRA,France,,2655.26,2655.25803,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_HI,High-income,,FRA,France,,2779.41,2779.40867,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,WB_HI,High-income,,FRA,France,,2887.36,2887.36050,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,WB_HI,High-income,,FRA,France,,3061.43,3061.43392,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_HI,High-income,,FRA,France,,3130.68,3130.68433,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,WB_HI,High-income,,FRA,France,,3277.22,3277.21813,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,WB_HI,High-income,,FRA,France,,3306.54,3306.54228,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_HI,High-income,,FRA,France,,3368.35,3368.35494,,,,,
WHS7_108,Per capita government expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/108,NHA_FRA,France note,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,WB_HI,High-income,,FRA,France,,3525.60,3525.59951,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,WB_HI,High-income,,FRA,France,,14.87,14.87190,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,1996,1996,,EUR,1996,1996,Europe,,WB_HI,High-income,,FRA,France,,14.82,14.82184,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,WB_HI,High-income,,FRA,France,,14.73,14.73478,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,WB_HI,High-income,,FRA,France,,14.99,14.98597,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,WB_HI,High-income,,FRA,France,,15.04,15.04367,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,WB_HI,High-income,,FRA,France,,15.18,15.17648,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,WB_HI,High-income,,FRA,France,,15.32,15.32497,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,WB_HI,High-income,,FRA,France,,15.57,15.56767,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,WB_HI,High-income,,FRA,France,,15.40,15.39818,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,WB_HI,High-income,,FRA,France,,15.62,15.62414,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_HI,High-income,,FRA,France,,15.63,15.63280,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,WB_HI,High-income,,FRA,France,,15.57,15.57000,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_HI,High-income,,FRA,France,,15.54,15.54421,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,WB_HI,High-income,,FRA,France,,15.42,15.41661,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,WB_HI,High-income,,FRA,France,,15.41,15.40934,,,,,
WHS7_113,General government expenditure on health as a percentage of total government expenditure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/93,NHA_FRA,France note,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_HI,High-income,,FRA,France,,15.38,15.37650,,,,,
