GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),RSUDHWF (CODE),RSUDHWF (DISPLAY),RSUDHWF (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
RSUD_760,Educational attainment in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,BACHELOR,Bachelor's or equivalent level,,,,,No data,,,,,,
RSUD_760,Educational attainment in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,MASTER,Master's or equivalent level,,,,,No data,,,,,,
RSUD_760,Educational attainment in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,TERTIARY,Short-cycle tertiary education,,,,,No data,,,,,,
RSUD_770,Postgraduate training programme in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,COUNSELLORS,Counsellors,,No data,,,,,,
RSUD_770,Postgraduate training programme in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,NURSES,Nurses,,No data,,,,,,
RSUD_770,Postgraduate training programme in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,COMMUNITY_HEALTH_WORKERS,Community health workers,,No data,,,,,,
RSUD_770,Postgraduate training programme in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,AMR,Americas,,FRA,2014,2014,France,,,,,SOCIAL_WORKERS,Social workers,,No data,,,,,,
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,ADDICTION_COUNSELLORS,Addiction counsellors,,No data,,,,,,
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,COMMUNITY_HEALTH_WORKERS,Community health workers,,No data,,,,,,
RSUD_790,Educational attainment in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,BACHELOR,Bachelor's or equivalent level,,,,,No data,,,,,,
RSUD_790,Educational attainment in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,MASTER,Master's or equivalent level,,,,,No data,,,,,,
RSUD_790,Educational attainment in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,TERTIARY,Short-cycle tertiary education,,,,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,COUNSELLORS,Counsellors,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,NURSES,Nurses,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,COMMUNITY_HEALTH_WORKERS,Community health workers,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,AMR,Americas,,FRA,2014,2014,France,,,,,SOCIAL_WORKERS,Social workers,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,ADDICTION_COUNSELLORS,Addiction counsellors,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,COMMUNITY_HEALTH_WORKERS,Community health workers,,No data,,,,,,
